address,latitude,longitude,name,province
3302 Kamer Miller Rd,38.346607,-85.797911,Dairy Queen,IN
32940 Michigan Ave,42.283657,-83.36389799999999,Taco Bell,MI
913 Charleston Ave,39.481538,-88.36445400000001,Dairy Queen,IL
5636 W Irving Park Rd,41.953301,-87.767849,Dairy Queen,IL
685 W Main St,40.737017,-89.026139,Dairy Queen,IL
601 E Oak St,40.191908000000005,-88.401881,Dairy Queen,IL
35 White St,42.389162,-71.11789,McDonald's,MA
50 Milk St,42.357,-71.057588,Milk Street Cafe,MA
340 Longwood Ave,42.338242,-71.106394,McDonald's,MA
2306 Dix Hwy,42.25059,-83.19532199999999,Taco Bell,MI
1108 Lincoln Way East,40.80019,-81.511421,Taco Bell,OH
705 York Road,35.231412,-81.332652,Taco Bell,NC
401 S 2nd St,40.566695,-89.653915,Dairy Queen,IL
4204 N Sheridan Rd,40.738856,-89.602672,Dairy Queen,IL
1084 S Gilbert Suite 601,33.334671,-111.79003200000001,Pei Wei,AZ
401 S 6th St,40.008448,-89.84830799999999,Dairy Queen,IL
4605 E Maryland St,39.819918,-88.883699,Dairy Queen,IL
3106 3 Oaks Rd,42.219046999999996,-88.258381,Dairy Queen,IL
316 N Main St,40.914208,-90.648196,Dairy Queen,IL
201 E Deyoung St,37.740922999999995,-88.92539599999999,Dairy Queen,IL
201 E Deyoung St,37.740922999999995,-88.92539599999999,Dairy Queen,IL
1453 Grandview Ave,39.987216,-83.04453199999999,W.G. Grinders,OH
4967 Eagle Rock Blvd,34.136803,-118.215193,Foster's Freeze,CA
120 N Division Ave,41.986872,-89.578918,Caseys Carry Out Pizza,IL
526 E Carl Albert Pkwy,34.931259999999995,-95.763988,Tastee Freez,OK
945 W Memorial Rd,35.609103999999995,-97.529511,Taco Bueno,OK
1737 N University Ave,30.252668,-92.037149,McDonald's,LA
249 E State St,43.176212,-83.887437,McDonald's,MI
8010 Sudley Rd,38.781659999999995,-77.51244,Wendy's,VA
6385 Monroe St,41.715443,-83.698148,Jimmy John's,OH
1211 Joe Frank Harris Pkwy SE,34.203844000000004,-84.809281,Subway,GA
192 Lovvorn Ave,33.538661,-85.25191600000001,Subway,GA
1185 Gray Hwy,32.856549,-83.616455,Dairy Queen,GA
3156 Frontage Rd,34.228802,-83.86493399999999,Dairy Queen,GA
1224 Watson Blvd,32.618255,-83.618517,Dairy Queen,GA
1637 Liberty Expy SE,31.499615999999996,-84.115596,Subway,GA
1103 N Westover Blvd,31.620486,-84.220416,Subway,GA
119 Atlanta St,33.054774,-84.15625,Dairy Queen,GA
1035 Edgefield Rd,33.572772,-81.938715,Dairy Queen,SC
1035 Edgefield Rd,33.572772,-81.938715,Dairy Queen,SC
2500 Wilde Lake Blvd,30.519652,-87.314643,Hardee's,FL
3439 Highway 77,30.211082,-85.650126,Hardee's,FL
3473 Clairmont Rd NE,33.860209999999995,-84.309952,Dairy Queen,GA
2781 Chamblee Tucker Rd,33.880324,-84.275398,Dairy Queen,GA
256 N Main St,33.532392,-84.355959,Dairy Queen,GA
410 North Ave NE,33.771188,-84.373631,Dairy Queen,GA
498 Busch Dr,30.429273,-81.65306600000001,Hardee's,FL
1500 Mayport Rd,30.335676,-81.415375,Hardee's,FL
822 Beal Pkwy NW,30.44787,-86.638646,Hardee's,FL
5425 Cotton St,30.968266999999997,-85.510864,Hardee's,FL
1098 W International Speedway Blvd,29.053904,-81.324411,Hardee's,FL
7237 Milford Harrington Hwy,38.9237,-75.56721999999999,Hardee's,DE
651 W Washington St,30.703743,-84.854535,Hardee's,FL
401 S Thompson St,36.1825,-94.138655,Hardee's,AR
4513 Williamson Rd NW,37.313592,-79.952038,Papa John's Pizza,VA
631 Hogan Rd,44.835640000000005,-68.742387,Burger King,ME
1783 Roanoke Rd,37.410270000000004,-79.913083,Papa John's Pizza,VA
22 S State Ave,46.875699,-102.81083199999999,Pizza Hut,ND
758 W Dixie Dr,35.6876,-79.82614000000001,Burger King,NC
4505 Kester Mill Rd,36.069592,-80.33416700000001,Cook Out,NC
